"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"428","Braden Norris","Oakland","Horz",88.9,119.6,12.9,64.4,0.2,8.7,25.4,24.3,0.2,2.4,46,"Fr","11-May","Loyola Chicago",0.256614
"429","Kellon Taylor","Duquesne","A10",5.9,104.2,7.4,50,5.7,11.8,6.7,30.3,1.4,3,33.3,"Jr","5-Jun","Albany",2.8876
"430","Tevian Jones","Illinois","B10",5.6,58.6,19.2,22.9,6.6,9.9,2.5,18.3,3,0,8.3,"So","7-Jun","Southern Utah",-2.10245
"431","Tyrese Martin","Rhode Island","A10",84.5,99.7,19.6,49.7,6.2,15.7,6.6,16.6,0.9,1.8,19.9,"So","6-Jun","Connecticut",0.698762
"432","Christian Carlyle","Florida Gulf Coast","ASun",59.8,105,19.7,49.8,4.6,12,19.1,14.8,1.1,2.1,37.6,"Jr","6-Jun","Santa Clara",0.122937
"433","Brian Coffey II","North Florida","ASun",24.1,79,17,49.1,1.8,3.7,20.8,40.8,0,1.5,12.3,"So","1-Jun","Middle Tennessee",-2.05737
"434","Yavuz Gultekin","Texas A&M","SEC",16,106.5,13.4,48.8,9.1,14.7,4.8,14.1,0.8,1.3,20,"Fr","7-Jun","San Diego",0.550565
"435","Jalen Carey","Syracuse","ACC",1.8,39.2,28.6,12.5,9.9,18.8,7.4,26.6,0,2.5,50,"So","3-Jun","Rhode Island",-1.384
"436","Jose Placer","UMBC","AE",37.2,99.5,19.8,54,1,8.9,18,22.3,0.3,1.2,24.8,"Fr","2-Jun","North Florida",-0.821746
"437","Jalen Adaway","Miami OH","MAC",60.6,111.3,13.8,53,3.9,19.3,5.8,10.5,1,0.7,29.9,"So","5-Jun","St. Bonaventure",0.477177
"438","Eugene Omoruyi","Rutgers","B10",65.2,101.2,27.2,46.7,8.4,18.7,18.8,18.2,1,1.4,39.7,"Jr","7-Jun","Oregon",1.15207
"439","Evan Clayborne","North Carolina Central","MEAC",45,98.7,13.8,66.2,9.4,12.6,5,23.9,5,1.5,84.5,"Jr","6-Jun","UNC Asheville",0.591629
